Measures	Text 1
Language	en
Lexical verb length (Sent Max)	11.00
Lexical verb length (Sent Min)	0.00
Noun length (Doc)	5.82
Noun length (Sent Avg)	5.46
Noun length (Sent SD)	2.35
Noun length (Sent Max)	13.00
Noun length (Sent Min)	0.00
Proper noun length (Doc)	4.50
Proper noun length (Sent Avg)	2.19
Proper noun length (Sent SD)	2.36
Proper noun length (Sent Max)	6.00
Proper noun length (Sent Min)	0.00
Lexical item length (Doc)	5.65
Lexical item length (Sent Avg)	5.70
Lexical item length (Sent SD)	0.87
Lexical item length (Sent Max)	8.14
Lexical item length (Sent Min)	4.00
Adposition length (Doc)	3.08
Adposition length (Sent Avg)	2.35
Adposition length (Sent SD)	1.76
Adposition length (Sent Max)	7.00
Adposition length (Sent Min)	0.00
Auxiliary length (Doc)	3.33
Auxiliary length (Sent Avg)	1.53
Auxiliary length (Sent SD)	1.77
Auxiliary length (Sent Max)	5.00
Auxiliary length (Sent Min)	0.00
Conjunction length (Doc)	2.93
Conjunction length (Sent Avg)	1.42
Conjunction length (Sent SD)	1.54
Conjunction length (Sent Max)	4.00
Conjunction length (Sent Min)	0.00
Determiner length (Doc)	2.59
Determiner length (Sent Avg)	2.33
Determiner length (Sent SD)	1.07
Determiner length (Sent Max)	3.00
Determiner length (Sent Min)	0.00
Numeral length (Doc)	3.00
Numeral length (Sent Avg)	0.16
Numeral length (Sent SD)	0.69
Numeral length (Sent Max)	3.00
Numeral length (Sent Min)	0.00
Particle length (Doc)	2.38
Particle length (Sent Avg)	0.77
Particle length (Sent SD)	1.15
Particle length (Sent Max)	3.00
Particle length (Sent Min)	0.00
Pronoun length (Doc)	2.84
Pronoun length (Sent Avg)	2.37
Pronoun length (Sent SD)	1.83
Pronoun length (Sent Max)	8.00
Pronoun length (Sent Min)	0.00
Grammatical item length (Doc)	2.85
Grammatical item length (Sent Avg)	2.90
Grammatical item length (Sent SD)	0.48
Grammatical item length (Sent Max)	4.00
Grammatical item length (Sent Min)	2.12
Verb length (Doc)	5.55
Verb length (Sent Avg)	5.47
Verb length (Sent SD)	1.76
Verb length (Sent Max)	9.00
Verb length (Sent Min)	0.00
Adjective type-token ratio (Doc)	0.80
Adjective type-token ratio (Sent Avg)	0.84
Adjective type-token ratio (Sent SD)	0.37
Adjective type-token ratio (Sent Max)	1.00
Adjective type-token ratio (Sent Min)	0.00
Adverb type-token ratio (Doc)	0.87
Adverb type-token ratio (Sent Avg)	0.43
Adverb type-token ratio (Sent SD)	0.50
Adverb type-token ratio (Sent Max)	1.00
Adverb type-token ratio (Sent Min)	0.00
Interjection type-token ratio (Doc)	0.00
Interjection type-token ratio (Sent Avg)	0.0
Interjection type-token ratio (Sent SD)	0.0
Interjection type-token ratio (Sent Max)	0.00
Interjection type-token ratio (Sent Min)	0.00
Lexical verb type-token ratio (Doc)	0.90
Lexical verb type-token ratio (Sent Avg)	0.88
Lexical verb type-token ratio (Sent SD)	0.32
Lexical verb type-token ratio (Sent Max)	1.00
Lexical verb type-token ratio (Sent Min)	0.00
Noun type-token ratio (Doc)	0.70
Noun type-token ratio (Sent Avg)	0.89
Noun type-token ratio (Sent SD)	0.28
Noun type-token ratio (Sent Max)	1.00
Noun type-token ratio (Sent Min)	0.00
Proper noun type-token ratio (Doc)	0.15
Proper noun type-token ratio (Sent Avg)	0.49
Proper noun type-token ratio (Sent SD)	0.51
Proper noun type-token ratio (Sent Max)	1.00
Proper noun type-token ratio (Sent Min)	0.00
Lexical item type-token ratio (Doc)	0.74
Lexical item type-token ratio (Sent Avg)	0.99
Lexical item type-token ratio (Sent SD)	0.032
Lexical item type-token ratio (Sent Max)	1.00
Lexical item type-token ratio (Sent Min)	0.89
Adposition type-token ratio (Doc)	0.38
Adposition type-token ratio (Sent Avg)	0.74
Adposition type-token ratio (Sent SD)	0.43
Adposition type-token ratio (Sent Max)	1.00
Adposition type-token ratio (Sent Min)	0.00
Auxiliary type-token ratio (Doc)	0.43
Auxiliary type-token ratio (Sent Avg)	0.44
Auxiliary type-token ratio (Sent SD)	0.49
Auxiliary type-token ratio (Sent Max)	1.00
Auxiliary type-token ratio (Sent Min)	0.00
Conjunction type-token ratio (Doc)	0.31
Conjunction type-token ratio (Sent Avg)	0.47
Conjunction type-token ratio (Sent SD)	0.50
Conjunction type-token ratio (Sent Max)	1.00
Conjunction type-token ratio (Sent Min)	0.00
Determiner type-token ratio (Doc)	0.082
Determiner type-token ratio (Sent Avg)	0.59
Determiner type-token ratio (Sent SD)	0.35
Determiner type-token ratio (Sent Max)	1.00
Determiner type-token ratio (Sent Min)	0.00
Numeral type-token ratio (Doc)	0.50
Numeral type-token ratio (Sent Avg)	0.054
Numeral type-token ratio (Sent SD)	0.23
Numeral type-token ratio (Sent Max)	1.00
Numeral type-token ratio (Sent Min)	0.00
Particle type-token ratio (Doc)	0.31
Particle type-token ratio (Sent Avg)	0.32
Particle type-token ratio (Sent SD)	0.46
Particle type-token ratio (Sent Max)	1.00
Particle type-token ratio (Sent Min)	0.00
Pronoun type-token ratio (Doc)	0.27
Pronoun type-token ratio (Sent Avg)	0.74
Pronoun type-token ratio (Sent SD)	0.42
Pronoun type-token ratio (Sent Max)	1.00
Pronoun type-token ratio (Sent Min)	0.00
Grammatical item type-token ratio (Doc)	0.24
Grammatical item type-token ratio (Sent Avg)	0.85
Grammatical item type-token ratio (Sent SD)	0.14
Grammatical item type-token ratio (Sent Max)	1.00
Grammatical item type-token ratio (Sent Min)	0.50
Verb type-token ratio (Doc)	0.80
Verb type-token ratio (Sent Avg)	0.95
Verb type-token ratio (Sent SD)	0.18
Verb type-token ratio (Sent Max)	1.00
Verb type-token ratio (Sent Min)	0.00
Adverb-adjective ratio (Doc)	0.47
Adverb-adjective ratio (Sent Avg)	0.49
Adverb-adjective ratio (Sent SD)	0.75
Adverb-adjective ratio (Sent Max)	3.00
Adverb-adjective ratio (Sent Min)	0.00
Interjection-adjective ratio (Doc)	0.00
Interjection-adjective ratio (Sent Avg)	0.0
Interjection-adjective ratio (Sent SD)	0.0
Interjection-adjective ratio (Sent Max)	0.00
Interjection-adjective ratio (Sent Min)	0.00
Determiner-adjective ratio (Doc)	1.49
Determiner-adjective ratio (Sent Avg)	1.32
Determiner-adjective ratio (Sent SD)	0.98
Determiner-adjective ratio (Sent Max)	3.00
Determiner-adjective ratio (Sent Min)	0.00
Adjective-noun ratio (Doc)	0.43
Adjective-noun ratio (Sent Avg)	0.41
Adjective-noun ratio (Sent SD)	0.31
Adjective-noun ratio (Sent Max)	1.00
Adjective-noun ratio (Sent Min)	0.00
Interjection-noun ratio (Doc)	0.00
Interjection-noun ratio (Sent Avg)	0.0
Interjection-noun ratio (Sent SD)	0.0
Interjection-noun ratio (Sent Max)	0.00
Interjection-noun ratio (Sent Min)	0.00
Proper noun-noun ratio (Doc)	0.18
Proper noun-noun ratio (Sent Avg)	0.22
Proper noun-noun ratio (Sent SD)	0.42
